id,agency_id
3,73
4,70
5,238
8,196
9,473
11,101
13,195
15,490
16,287
17,26254
19,168
21,246
22,90
25,115
27,145
29,254
32,250
36,249
37,491
37,492
38,289
325,110
42,290
43,494
45,493
46,508
48,292
49,63
50,278
51,1237
52,293
54,227
55,228
55,229
56,77
57,21
60,139
63,114
64,509
67,119
68,120
74,125
75,38
78,116
80,127
83,130
84,108
85,510
86,267
88,2195
90,134
98,133
99,2195
100,111
101,148
102,147
336,141
105,150
107,149
341,116
108,151
110,52
20,106
324,1953
324,109
352,179
353,180
111,158
348,80
349,174
349,175
350,3084
345,166
346,168
347,171
112,512
112,511
342,164
113,105
338,160
339,128
114,303
115,236
528,569
117,134
118,307
119,204
120,305
116,311
123,482
124,247
124,195
124,2267
124,319
125,247
125,195
125,2267
125,319
126,521
127,1409
128,315
129,23
532,267
554,317
131,208
132,141
133,325
134,326
135,328
136,513
136,514
137,330
138,331
139,31
140,335
141,92
142,338
145,595
146,200
146,2169
147,19
148,339
154,348
149,128
155,203
150,346
151,347
153,277
156,215
157,349
158,53
130,317
159,350
160,352
161,515
162,353
163,354
165,1142
165,518
166,516
255,517
584,1173
167,81
168,77
170,206
172,214
174,363
174,364
174,1399
175,367
176,370
266,19
266,1746
266,18
371,158
177,371
178,23
179,375
180,377
180,3612
181,379
182,196
183,392
184,393
185,33
186,395
187,352
188,167
189,397
190,398
191,400
191,399
192,267
194,38
195,160
268,39
196,244
197,245
198,247
199,178
249,168
249,205
200,253
201,38
202,3614
203,322
269,21
270,256
271,80
204,79
272,23
273,24
205,329
274,25
274,342
274,343
275,340
275,341
276,28
276,29
206,55
278,3356
536,581
883,735
248,279
277,31
279,33
281,596
307,87
581,610
796,20
282,202
207,282
283,2080
289,45
351,20
208,360
209,366
287,44
210,372
212,63
213,58
216,59
217,56
217,57
221,196
290,47
292,266
225,62
226,311
294,7
228,548
229,55
230,415
265,17
295,60
306,7
308,88
310,101
531,570
235,422
309,89
311,212
312,90
231,211
233,618
234,421
237,27
238,286
247,92
313,425
239,426
240,91
241,20
242,62
246,429
250,38
245,15
251,360
254,3
256,4
257,6
258,7
316,93
252,1
264,16
244,82
262,14
259,2062
259,295
261,356
263,433
267,3129
533,571
286,40
288,41
288,42
288,43
291,46
303,84
299,78
296,75
297,76
300,79
302,81
301,80
304,85
298,77
318,88
322,100
319,96
329,44
330,281
331,38
359,188
332,121
333,889
333,122
333,124
340,19
343,163
534,572
534,573
335,140
377,259
377,260
358,165
355,77
357,23
362,193
356,185
363,216
364,218
365,219
366,220
367,102
368,1616
368,223
369,233
374,236
373,230
380,265
381,266
381,267
382,268
376,80
379,264
378,261
383,269
399,308
393,296
398,306
495,38
537,576
391,286
394,297
395,298
396,116
397,300
392,38
400,312
400,313
409,519
401,404
401,405
402,408
403,101
412,435
408,432
411,298
414,545
404,995
406,544
407,555
405,428
413,942
417,145
420,443
415,436
416,319
419,442
421,447
422,448
422,449
423,450
418,262
424,110
425,794
426,453
427,455
428,455
445,469
447,130
431,458
6916,1528
429,38
430,20
434,461
432,459
433,460
435,462
436,20
439,498
443,466
451,88
454,476
453,475
455,477
437,116
444,468
441,17
449,3613
450,474
456,478
456,479
470,468
460,484
462,486
463,487
458,262
459,481
461,485
457,480
464,488
464,489
465,499
466,500
467,611
468,130
468,612
486,539
489,158
469,110
483,534
484,76
484,535
485,540
487,536
487,537
487,538
472,19
473,613
474,614
529,615
475,141
476,531
477,298
479,2985
530,522
480,3121
480,554
481,520
482,616
491,519
492,262
488,506
490,507
493,532
494,533
497,523
498,101
499,524
500,763
501,450
503,59
504,530
505,541
507,3609
507,3
508,547
509,951
510,102
511,550
511,551
512,552
513,553
520,563
521,564
515,558
516,559
518,561
519,562
522,565
514,556
517,560
523,566
524,79
526,127
525,567
535,574
535,575
538,577
539,115
540,298
541,579
542,222
543,957
544,580
545,540
553,587
546,582
548,583
549,330
547,168
551,585
550,584
559,591
563,607
557,589
561,592
564,298
558,590
560,577
565,593
582,265
555,588
556,160
566,594
570,600
573,603
576,606
572,77
574,604
575,605
726,1440
569,599
567,128
568,598
579,3610
583,44
580,609
577,618
585,619
586,620
587,699
589,524
589,623
588,622
601,262
603,17
604,632
604,360
597,627
598,20
599,628
602,630
591,23
595,625
596,626
600,629
592,624
593,141
594,141
605,20
590,23
606,633
607,634
610,20
619,38
608,102
609,319
611,330
614,7
615,635
616,636
617,637
618,1
620,638
621,639
622,640
623,80
624,265
625,641
627,38
634,201
626,375
630,643
1152,265
637,226
628,106
631,644
632,141
633,645
636,647
629,329
635,646
638,648
645,38
639,545
641,649
643,479
642,650
646,652
647,653
648,1155
649,654
656,658
664,667
644,651
651,482
655,236
657,31
660,661
650,655
652,80
654,657
653,656
658,660
658,951
759,120
661,663
662,579
663,2970
666,669
667,23
669,671
668,670
670,672
671,673
672,674
673,675
674,38
675,676
676,145
677,677
678,375
685,585
679,772
680,678
681,306
682,680
682,679
683,1272
684,681
686,682
687,683
688,684
689,266
690,116
691,20
692,508
693,686
693,687
694,688
696,397
695,102
697,558
698,689
699,448
699,690
700,692
701,474
701,2954
702,693
703,583
704,694
705,695
706,696
707,450
708,475
710,697
737,110
711,698
712,375
713,700
718,704
720,706
721,519
716,702
719,705
722,58
723,708
715,77
717,703
724,709
727,92
725,710
728,712
728,711
730,521
729,1162
729,119
731,558
732,38
733,713
733,267
735,55
736,592
736,716
738,298
738,2903
739,718
740,471
750,724
750,725
741,719
742,188
743,180
744,723
745,92
746,722
748,102
749,92
751,134
752,728
752,727
753,729
754,730
754,731
754,732
755,734
756,735
881,827
758,73
760,736
761,459
762,737
763,738
764,7
765,238
766,448
766,739
767,375
768,17
769,740
769,741
771,744
772,745
770,81
770,742
770,743
773,746
774,747
775,80
779,219
776,749
777,750
780,751
781,330
782,558
783,262
784,38
785,580
786,753
788,298
793,111
787,375
789,44
795,265
790,754
791,397
792,755
794,757
797,758
798,760
798,761
798,759
799,763
1409,700
800,764
801,124
801,765
802,766
803,767
804,768
805,769
806,735
807,771
808,771
809,219
810,772
811,592
813,700
836,776
836,775
812,773
815,201
816,776
816,775
879,825
817,777
818,45
819,124
820,778
823,20
824,546
831,787
822,780
878,824
821,779
825,2964
825,781
825,782
827,784
827,119
828,130
829,785
830,786
832,38
833,219
834,38
837,793
837,3356
835,789
835,790
838,479
839,130
843,236
844,798
842,797
842,509
846,800
845,799
847,801
847,802
840,330
848,804
849,804
850,1101
851,178
852,805
853,806
854,807
855,808
856,493
857,250
858,810
859,128
861,448
862,812
860,219
863,813
865,63
866,815
867,265
868,817
868,763
869,818
870,819
871,38
874,820
875,822
872,219
873,262
