abbr,state,political_control
AL,Alabama,Largely Republican
AK,Alaska,Mixed
AZ,Arizona,Leaning Republican
AR,Arkansas,Largely Republican
CA,California,Largely Democratic
CO,Colorado,Largely Democratic
CT,Connecticut,Largely Democratic
DE,Delaware,Largely Democratic
FL,Florida,Largely Republican
GA,Georgia,Largely Republican
HI,Hawaii,Largely Democratic
ID,Idaho,Largely Republican
IL,Illinois,Largely Democratic
IN,Indiana,Largely Republican
IA,Iowa,Largely Republican
KS,Kansas,Leaning Republican
KY,Kentucky,Mixed
LA,Louisiana,Leaning Republican
ME,Maine,Largely Democratic
MD,Maryland,Leaning Democratic
MA,Massachusetts,Largely Democratic
MI,Michigan,Mixed
MN,Minnesota,Largely Democratic
MS,Mississippi,Largely Republican
MO,Missouri,Largely Republican
MT,Montana,Largely Republican
NE,Nebraska,Largely Republican
NV,Nevada,Leaning Democratic
NH,New Hampshire,Leaning Republican
NJ,New Jersey,Largely Democratic
NM,New Mexico,Largely Democratic
NY,New York,Largely Democratic
NC,North Carolina,Largely Republican
ND,North Dakota,Largely Republican
OH,Ohio,Leaning Republican
OK,Oklahoma,Largely Republican
OR,Oregon,Largely Democratic
PA,Pennsylvania,Mixed
RI,Rhode Island,Largely Democratic
SC,South Carolina,Largely Republican
SD,South Dakota,Largely Republican
TN,Tennessee,Largely Republican
TX,Texas,Largely Republican
UT,Utah,Largely Republican
VT,Vermont,Leaning Democratic
VA,Virginia,Mixed
WA,Washington,Largely Democratic
WV,West Virginia,Largely Republican
WI,Wisconsin,Mixed
WY,Wyoming,Largely Republican
DC,District of Columbia,Largely Democratic
